2019-03-06 16:56:23,219 [  52102]   INFO - ij.components.ComponentManager - com.intellij.openapi.keymap.impl.KeymapManagerImpl initialized in 13 ms 
2019-03-06 16:56:23,233 [  52116]   INFO - rnal.statistic.DeviceIdManager - Generating new Device ID 
2019-03-06 16:56:23,235 [  52118]   INFO - eventLog.EventLogConfiguration - Generating salt for the device 
2019-03-06 16:56:23,576 [  52459]   INFO - ij.components.ComponentManager - com.intellij.openapi.actionSystem.impl.ActionManagerImpl initialized in 371 ms 
2019-03-06 16:56:23,596 [  52479]   INFO - ij.components.ComponentManager - com.intellij.openapi.editor.impl.EditorFactoryImpl initialized in 391 ms 
2019-03-06 16:56:23,600 [  52483]   INFO - .history.utils.LocalHistoryLog - local history version mismatch (was: 0, expected: 6), rebuilding... 
2019-03-06 16:56:23,600 [  52483]   INFO - .history.utils.LocalHistoryLog - FS has been rebuild, rebuilding local history... 
2019-03-06 16:56:23,614 [  52497]   INFO - ij.components.ComponentManager - com.intellij.history.integration.LocalHistoryImpl initialized in 16 ms 
2019-03-06 16:56:24,034 [  52917]   INFO - ij.components.ComponentManager - com.intellij.ide.ui.laf.LafManagerImpl initialized in 409 ms 
2019-03-06 16:56:24,058 [  52941]   INFO - ij.components.ComponentManager - com.intellij.notification.impl.NotificationsConfigurationImpl initialized in 13 ms 
2019-03-06 16:56:24,084 [  52967]   INFO - ij.components.ComponentManager - com.intellij.util.net.HttpConfigurable initialized in 19 ms 
2019-03-06 16:56:24,110 [  52993]   INFO - til.net.ssl.CertificateManager - Default SSL context initialized 
2019-03-06 16:56:24,111 [  52994]   INFO - ij.components.ComponentManager - com.intellij.util.net.ssl.CertificateManager initialized in 26 ms 
2019-03-06 16:56:24,132 [  53015]   WARN - com.intellij.util.xmlb.Binding - no accessors for interface com.intellij.openapi.extensions.PluginDescriptor 
2019-03-06 16:56:24,152 [  53035]   INFO - ij.components.ComponentManager - com.intellij.openapi.util.registry.RegistryExtensionCollector initialized in 22 ms 
2019-03-06 16:56:24,168 [  53051]   INFO - tellij.ide.SystemHealthMonitor - restored ignored PIPE handler 
2019-03-06 16:56:24,188 [  53071]   INFO - rains.ide.BuiltInServerManager - built-in server started, port 63342 
2019-03-06 16:56:24,246 [  53129]   INFO - ij.components.ComponentManager - com.intellij.openapi.wm.impl.WindowManagerImpl initialized in 88 ms 
2019-03-06 16:56:24,258 [  53141]   INFO - ij.components.ComponentManager - com.intellij.openapi.wm.impl.FocusManagerImpl initialized in 105 ms 
2019-03-06 16:56:24,300 [  53183]   INFO - ij.components.ComponentManager - com.intellij.ide.IdeTooltipManager initialized in 42 ms 
2019-03-06 16:56:24,316 [  53199]   INFO - ij.components.ComponentManager - com.intellij.ide.SaveAndSyncHandlerImpl initialized in 15 ms 
2019-03-06 16:56:24,326 [  53209]   INFO - gs.impl.UpdateCheckerComponent - channel: release 
2019-03-06 16:56:24,327 [  53210]   INFO - gs.impl.UpdateCheckerComponent - channel forced to 'eap' 
2019-03-06 16:56:24,386 [  53269]   INFO - ij.components.ComponentManager - com.intellij.openapi.updateSettings.impl.UpdateCheckerComponent initialized in 67 ms 
2019-03-06 16:56:24,467 [  53350]   INFO - ij.components.ComponentManager - com.intellij.openapi.actionSystem.ex.QuickListsManager initialized in 75 ms 
2019-03-06 16:56:24,676 [  53559]   INFO - il.indexing.FileBasedIndexImpl - Index exts enumerated:192, number of extensions:55 
2019-03-06 16:56:24,713 [  53596]   INFO - il.indexing.FileBasedIndexImpl - Index scheduled:36 
2019-03-06 16:56:24,713 [  53596]   INFO - ij.components.ComponentManager - com.intellij.util.indexing.FileBasedIndexImpl initialized in 237 ms 
2019-03-06 16:56:24,734 [  53617]   INFO - ij.components.ComponentManager - com.intellij.psi.stubs.SerializationManagerImpl initialized in 26 ms 
2019-03-06 16:56:24,755 [  53638]   INFO - il.indexing.FileBasedIndexImpl - Index FilenameIndex will be built. 
2019-03-06 16:56:24,842 [  53725]   INFO - il.indexing.FileBasedIndexImpl - Index filetypes will be built. 
2019-03-06 16:56:24,870 [  53753]   INFO - il.indexing.FileBasedIndexImpl - Index FrameworkDetectionIndex will be built. 
2019-03-06 16:56:24,985 [  53868]   INFO - il.indexing.FileBasedIndexImpl - Index TodoIndex will be built. 
2019-03-06 16:56:24,991 [  53874]   INFO - tellij.psi.stubs.StubIndexImpl - All stub exts enumerated:270, number of extensions:89 
2019-03-06 16:56:24,992 [  53875]   INFO - tellij.psi.stubs.StubIndexImpl - stub exts update scheduled:0 
2019-03-06 16:56:24,992 [  53875]   INFO - ij.components.ComponentManager - com.intellij.psi.stubs.StubIndexImpl initialized in 277 ms 
2019-03-06 16:56:25,011 [  53894]   INFO - ij.components.ComponentManager - com.intellij.tools.ToolManager initialized in 18 ms 
2019-03-06 16:56:25,051 [  53934]   INFO - ij.components.ComponentManager - com.intellij.execution.ExecutorRegistryImpl initialized in 39 ms 
2019-03-06 16:56:25,066 [  53949]   INFO - ij.components.ComponentManager - com.intellij.platform.PlatformProjectStarter initialized in 14 ms 
2019-03-06 16:56:25,077 [  53960]   INFO - ij.components.ComponentManager - com.intellij.ide.b.f initialized in 11 ms 
2019-03-06 16:56:25,090 [  53973]   INFO - ij.components.ComponentManager - org.jetbrains.plugins.phpstorm.PhpStormInitialConfigurator initialized in 11 ms 
2019-03-06 16:56:25,115 [  53998]   INFO - ij.components.ComponentManager - com.intellij.internal.statistic.updater.StatisticsJobsScheduler initialized in 25 ms 
2019-03-06 16:56:25,139 [  54022]   INFO - ij.components.ComponentManager - org.intellij.plugins.xpathView.XPathAppComponent initialized in 23 ms 
2019-03-06 16:56:25,195 [  54078]   INFO - ij.components.ComponentManager - org.intellij.lang.xpath.xslt.impl.XsltConfigImpl initialized in 55 ms 
2019-03-06 16:56:25,240 [  54123]   INFO - ndex.PrebuiltIndexProviderBase - Using prebuilt id-index from /home/cmsstudent/.PhpStorm2019.1/system/index/.persistent/prebuilt/PHP/id-index.input 
2019-03-06 16:56:25,269 [  54152]   INFO - il.indexing.FileBasedIndexImpl - Index IdIndex will be built. 
2019-03-06 16:56:25,274 [  54157]   INFO - il.indexing.FileBasedIndexImpl - Index Stubs will be built. 
2019-03-06 16:56:25,393 [  54276]   INFO - ij.components.ComponentManager - com.intellij.ideolog.intentions.LogIntentionLoaderComponent initialized in 197 ms 
2019-03-06 16:56:25,428 [  54311]   INFO - ij.components.ComponentManager - org.jetbrains.plugins.textmate.TextMateApplicationComponent initialized in 32 ms 
2019-03-06 16:56:25,578 [  54461]   INFO - plication.impl.ApplicationImpl - 75 application components initialized in 4044ms 
2019-03-06 16:56:25,619 [  54502]   INFO - .intellij.idea.IdeaApplication - App initialization took 55995 ms 
2019-03-06 16:56:25,676 [  54559]   INFO - ij.psi.stubs.StubUpdatingIndex - Following new file types will be indexed:Sass,JSX Harmony,Handlebars/Mustache,ECMAScript 6,SCSS,XML,Flow,Vue.js,Literate CoffeeScript,HTML,SQL,Twig,htaccess,TypeScript,ActionScript,Markdown,Angular2Html,CoffeeScript,Angular Metadata JSON,Ini,TypeScript JSX,PHP,JavaScript,CSS,Less 
2019-03-06 16:56:25,797 [  54680]   INFO - il.indexing.FileBasedIndexImpl - Index Trigram.Index will be built. 
2019-03-06 16:56:25,869 [  54752]   INFO - il.indexing.FileBasedIndexImpl - Index fileIncludes will be built. 
2019-03-06 16:56:25,962 [  54845]   INFO - il.indexing.FileBasedIndexImpl - Index DomFileIndex will be built. 
2019-03-06 16:56:25,964 [  54847]   INFO - il.indexing.FileBasedIndexImpl - Index RelaxSymbolIndex will be built. 
2019-03-06 16:56:25,981 [  54864]   INFO - il.indexing.FileBasedIndexImpl - Index XmlTagNames will be built. 
2019-03-06 16:56:25,998 [  54881]   INFO - il.indexing.FileBasedIndexImpl - Index XmlNamespaces will be built. 
2019-03-06 16:56:26,006 [  54889]   INFO - il.indexing.FileBasedIndexImpl - Index html5.custom.attributes.index will be built. 
2019-03-06 16:56:26,036 [  54919]   INFO - il.indexing.FileBasedIndexImpl - Index SchemaTypeInheritance will be built. 
2019-03-06 16:56:26,064 [  54947]   INFO - il.indexing.FileBasedIndexImpl - Index json.file.root.values will be built. 
2019-03-06 16:56:26,069 [  54952]   INFO - il.indexing.FileBasedIndexImpl - Index ImageFileInfoIndex will be built. 
2019-03-06 16:56:26,074 [  54957]   INFO - il.indexing.FileBasedIndexImpl - Index HtmlTagIdIndex will be built. 
2019-03-06 16:56:26,086 [  54969]   INFO - il.indexing.FileBasedIndexImpl - Index XsltSymbolIndex will be built. 
2019-03-06 16:56:26,107 [  54990]   INFO - il.indexing.FileBasedIndexImpl - Index CssIndex will be built. 
2019-03-06 16:56:26,117 [  55000]   INFO - il.indexing.FileBasedIndexImpl - Index css.template.selectors will be built. 
2019-03-06 16:56:26,122 [  55005]   INFO - il.indexing.FileBasedIndexImpl - Index editorconfig.index.name will be built. 
2019-03-06 16:56:26,125 [  55008]   INFO - il.indexing.FileBasedIndexImpl - Index sql.types.count.index will be built. 
2019-03-06 16:56:26,145 [  55028]   INFO - il.indexing.FileBasedIndexImpl - Index sql.routine.index will be built. 
2019-03-06 16:56:26,151 [  55034]   INFO - il.indexing.FileBasedIndexImpl - Index CompassFunctionsIndex will be built. 
2019-03-06 16:56:26,179 [  55062]   INFO - il.indexing.FileBasedIndexImpl - Index js.test.names will be built. 
2019-03-06 16:56:26,196 [  55079]   INFO - il.indexing.FileBasedIndexImpl - Index js.package.index will be built. 
2019-03-06 16:56:26,199 [  55082]   INFO - il.indexing.FileBasedIndexImpl - Index js.custom.single.entry.index will be built. 
2019-03-06 16:56:26,228 [  55111]   INFO - il.indexing.FileBasedIndexImpl - Index js.implicit.elements.index will be built. 
2019-03-06 16:56:26,234 [  55117]   INFO - j.ide.ui.OptionsTopHitProvider - 2184 ms spent to cache options in application 
2019-03-06 16:56:26,235 [  55118]   INFO - .openapi.application.Preloader - com.intellij.ide.ui.OptionsTopHitProvider$Activity took 2184 ms 
2019-03-06 16:56:26,236 [  55119]   INFO - il.indexing.FileBasedIndexImpl - Index angularjs.template.cache will be built. 
2019-03-06 16:56:26,239 [  55122]   INFO - il.indexing.FileBasedIndexImpl - Index angularjs.ui.router.views.index will be built. 
2019-03-06 16:56:26,253 [  55136]   INFO - il.indexing.FileBasedIndexImpl - Index angularjs.app.index will be built. 
2019-03-06 16:56:26,258 [  55141]   INFO - il.indexing.FileBasedIndexImpl - Index http.request.execution.environment will be built. 
2019-03-06 16:56:26,271 [  55154]   INFO - il.indexing.FileBasedIndexImpl - Index php.class.name will be built. 
2019-03-06 16:56:26,286 [  55169]   INFO - il.indexing.FileBasedIndexImpl - Index php.constant.name will be built. 
2019-03-06 16:56:26,289 [  55172]   INFO - il.indexing.FileBasedIndexImpl - Index php.function.name will be built. 
2019-03-06 16:56:26,303 [  55186]   INFO - il.indexing.FileBasedIndexImpl - Index php.variable.name will be built. 
2019-03-06 16:56:26,312 [  55195]   INFO - il.indexing.FileBasedIndexImpl - Index php.method.name will be built. 
2019-03-06 16:56:26,315 [  55198]   INFO - il.indexing.FileBasedIndexImpl - Index php.class.fqn will be built. 
2019-03-06 16:56:26,317 [  55200]   INFO - il.indexing.FileBasedIndexImpl - Index php.interface.fqn will be built. 
2019-03-06 16:56:26,337 [  55220]   INFO - il.indexing.FileBasedIndexImpl - Index php.invoke.calls.offsets will be built. 
2019-03-06 16:56:26,362 [  55245]   INFO - il.indexing.FileBasedIndexImpl - Index php.namespace.inheritance will be built. 
2019-03-06 16:56:26,365 [  55248]   INFO - il.indexing.FileBasedIndexImpl - Index php.trait.usage will be built. 
2019-03-06 16:56:26,378 [  55261]   INFO - il.indexing.FileBasedIndexImpl - Index php.unit.covers will be built. 
2019-03-06 16:56:26,404 [  55287]   INFO - il.indexing.FileBasedIndexImpl - Index php.class.alias.name will be built. 
2019-03-06 16:56:26,410 [  55293]   INFO - il.indexing.FileBasedIndexImpl - Index php.class.alias.to.class will be built. 
2019-03-06 16:56:26,419 [  55302]   INFO - il.indexing.FileBasedIndexImpl - Index php.class.to.class.alias will be built. 
2019-03-06 16:56:26,446 [  55329]   INFO - il.indexing.FileBasedIndexImpl - Index php.expected.function.arguments will be built. 
2019-03-06 16:56:26,484 [  55367]   INFO - il.indexing.FileBasedIndexImpl - Index php.expected.function.return.values will be built. 
2019-03-06 16:56:26,496 [  55379]   INFO - il.indexing.FileBasedIndexImpl - Index drupal.hook.name will be built. 
2019-03-06 16:56:26,503 [  55386]   INFO - il.indexing.FileBasedIndexImpl - Index wordpress.hook.invocations will be built. 
2019-03-06 16:56:26,537 [  55420]   INFO - il.indexing.FileBasedIndexImpl - Index yaml.keys.name will be built. 
2019-03-06 16:56:26,564 [  55447]   INFO - il.indexing.FileBasedIndexImpl - Index docker.compose.services will be built. 
2019-03-06 16:56:26,567 [  55450]   INFO - il.indexing.FileBasedIndexImpl - Index ru.adelf.idea.php.dotenv.keys will be built. 
2019-03-06 16:56:26,582 [  55465]   INFO - il.indexing.FileBasedIndexImpl - Index ru.adelf.idea.php.dotenv.keyValues will be built. 
2019-03-06 16:56:26,593 [  55476]   INFO - il.indexing.FileBasedIndexImpl - Index ru.adelf.idea.php.dotenv.usages will be built. 
2019-03-06 16:56:26,636 [  55519]   INFO - j.ide.plugins.RepositoryHelper - using cached plugin list (updated at 06.03.19 16:55) 
2019-03-06 16:56:26,641 [  55524]   INFO - pl$FileIndexDataInitialization - Initialization done:1932 
2019-03-06 16:56:26,652 [  55535]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index dom.namespaceKey will be built. 
2019-03-06 16:56:26,670 [  55553]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index dom.elementClass will be built. 
2019-03-06 16:56:26,671 [  55554]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index ini.property.key will be built. 
2019-03-06 16:56:26,672 [  55555]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Css.ampersand.selector will be built. 
2019-03-06 16:56:26,673 [  55556]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Css.class will be built. 
2019-03-06 16:56:26,675 [  55558]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Css.id will be built. 
2019-03-06 16:56:26,676 [  55559]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Css.attr will be built. 
2019-03-06 16:56:26,694 [  55577]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Css.custom.property will be built. 
2019-03-06 16:56:26,702 [  55585]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Css.custom.mixin will be built. 
2019-03-06 16:56:26,704 [  55587]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index sql.table.shortName will be built. 
2019-03-06 16:56:26,706 [  55589]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index sql.column.name will be built. 
2019-03-06 16:56:26,708 [  55591]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index sql.names will be built. 
2019-03-06 16:56:26,718 [  55601]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index markdown.header will be built. 
2019-03-06 16:56:26,719 [  55602]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Less.mixins will be built. 
2019-03-06 16:56:26,727 [  55610]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Less.variables will be built. 
2019-03-06 16:56:26,728 [  55611]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Scss.variable will be built. 
2019-03-06 16:56:26,730 [  55613]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Scss.placeholder.selector will be built. 
2019-03-06 16:56:26,734 [  55617]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Scss.function will be built. 
2019-03-06 16:56:26,741 [  55624]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Scss.mixin will be built. 
2019-03-06 16:56:26,743 [  55626]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.qualified.shortName will be built. 
2019-03-06 16:56:26,744 [  55627]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.element.qualifiedName will be built. 
2019-03-06 16:56:26,745 [  55628]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index JS.global.qualified.elements will be built. 
2019-03-06 16:56:26,746 [  55629]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index ts.external.module.index will be built. 
2019-03-06 16:56:26,747 [  55630]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index JS.class.super will be built. 
